,1950,,,1951,,,1952,,,1953,,,1954,,,1955,,,1956,,,1957,,,1958,,,1959,,,1960,,,1961,,,1962,,,1963,,,1964,,,1965,,,1966,,,1967,,,1968,,,1969,,,1970,,,1971,,,1972,,,1973,,,1974,,,1975,,,1976,,,1977,,,1978,,,1979,,,1980,,,1981,,,1982,,,1983,,,1984,,,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,
Country,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,2.1,3.4
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,19.7,24.5
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,11.6,18.7
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,46.6,59.2
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,14.61,17.73,3.28,17.49,20.77,3.85,18.87,22.72,3.96,20.81,24.77,3.94,23.52,27.46,4.14,26.36,30.5,4.44,27.8,32.24,4.5,30.08,34.58,4.59,31.85,36.44,5.06,34.15,39.21,5.09,34.14,39.23,4.77,35.96,40.73,5.21,39.2,44.41,5.1,39.57,44.67,5.04,42.75,47.79,5.41,43.89,49.3,5.81,45.43,51.24,5.67,48.18,53.85,6.22,48.13,54.35,6.29,50.81,57.1,6.3,52.44,58.74,7.17,55.26,62.43,6.97,57.12,64.09,7.27,57.58,64.85,7.59,61.71,69.3,8.07,63.56,71.63,8.18,65.15,73.33,8.43,66.27,74.7,8.63,66.75,75.38,9.29,68.99,78.28,9.34,69.38,78.72,9.93,71.08,81.01,10.18,72,82.18,9.97,70.32,80.29,10.65,71.98,82.63,10.7,71.3,82,11.27,72.2,83.47,11.27,70.35,81.62,,,,,,,11.57,67.69,79.26,12.5,68.06,80.56,12.76,68.63,81.39,13.59,68.73,82.32
Portugal,,,,,,,,,,,,,,,,2.15,7.8,9.95,2.78,6.78,9.56,2.35,8.14,10.49,2,7.58,9.58,2.21,8.37,10.58,2.18,8.82,11,2.69,9.04,11.73,2.51,9.71,12.22,2.49,10.3,12.79,2.47,10.29,12.76,2.07,10.93,13,3.11,12.63,15.74,2.72,11.16,13.88,2.41,13,15.41,3.05,13.22,16.27,2.95,14.06,17.01,3.3,15.1,18.4,3.07,14.49,17.56,3.12,15.21,18.33,3.5,14.73,18.23,3.59,16.67,20.26,3.43,16.99,20.42,3.45,17.06,20.51,3.22,19.31,22.53,3.54,20.11,23.65,3.76,21.2,24.96,4.03,20.28,24.31,4.3,21.25,25.55,3.79,21.76,25.55,3.61,22.47,26.08,3.91,24.46,28.37,4.15,24.56,28.71,3.94,25.99,29.93,4.09,24.68,28.77,4.23,24.17,28.4,4.32,26.25,30.57,4.64,25.8,30.44,4.28,25.78,30.06,4.66,29.09,33.75,4.52,27.83,32.35,4.69,27.8,32.49,4.12,29,33.12,4.45,28.31,32.76,4.64,29.64,34.28,4.7,27.54,32.24,5.08,28.43,33.51,4.42,28.36,32.78,5.35,28.87,34.22
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,19.1,26.2
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,18.5,22.7
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,18.21,22.71,4.73,19.19,23.92,5.7,23.51,29.21,5.43,24.56,29.99,5.62,25.47,31.09,5.67,26.21,31.88,5.2,27.34,32.54,5.17,26.72,31.89,5.24,24.93,30.17,5.1,25.43,30.53,5.52,27.46,32.98,5.54,27.3,32.84,5.31,28.37,33.68,5.46,28.38,33.84,5.43,28.56,33.99,5.43,29.13,34.56,5.5,29.72,35.22,5.81,30.97,36.78,5.77,30.98,36.75,5.85,32.08,37.93,,,,6.56,33.15,39.71,5.92,32.51,38.43,5.77,32.95,38.72,5.89,33.28,39.17,5.79,34.13,39.92,5.92,35.72,41.64,6.09,37.79,43.88,6.14,37.78,43.92,6.13,39.62,45.75,6.35,38.8,45.15,6.59,38.27,44.86,6.38,39.72,46.1,6.25,42.28,48.53,7.3,43.02,50.32,7.08,44.6,51.68,7.25,45.17,52.42,7.21,44.39,51.6,7.48,45.05,52.53,7.56,45.59,53.15,7.48,44.13,51.61,7.92,46.87,54.79,7.93,47.26,55.19,7.81,47.02,54.83
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,59.61,66.14,6.48,60.52,67,6.55,62.24,68.79,6.87,64.17,71.04,6.79,64.85,71.64,6.89,66.26,73.15,7.09,68.48,75.57,7.2,69.37,76.57,7.34,71.39,78.73,7.35,72.31,79.66,7.37,72.73,80.1,7.2,73.02,80.22,7.31,73.21,80.52,7.32,73.88,81.2,7.21,72.27,79.48,6.75,68.58,75.33,6.41,64.72,71.13,6.46,63.97,70.43,6.23,62.79,69.02,5.98,61.75,67.73,5.91,60.44,66.35,5.91,57.57,63.48,5.77,56.75,62.52
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.7,2.6
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,16,16.9
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,9.6,12.2
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.4,1.5
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,47.9,58.9
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.4,3
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,32.4,43.65,9.21,29.76,38.97,10.69,30.84,41.53,12.83,29.98,42.81,11.91,31.4,43.31,12.77,31.88,44.65,10.16,30.45,40.61,10.97,36.45,47.42,13.39,39.2,52.59,12.16,42.78,54.94,12.88,37.62,50.5,16.2,43.76,59.96,12.8,44.32,57.12,14.98,49.2,64.18,16.76,50.87,67.63,17.96,49.61,67.57,15.47,60.07,75.54,17.37,55.16,72.53,18.15,55.89,74.04,17.29,51.17,68.46,17.63,55.28,72.91,17.54,51.12,68.66,18.09,50.42,68.51,18.5,46.22,64.72,17.78,54.99,72.77,16.57,43.41,59.98,18.51,53.68,72.19,15.22,46.73,61.95,14.53,48.11,62.64,14.52,45.74,60.26,16.49,40,56.49,14.69,40.46,55.15,14.23,40.14,54.37,13.68,39.06,52.74,14.3,37,51.3,14.72,37.83,52.55,11.51,37.45,48.96,10.63,33.04,43.67,12.78,30.77,43.55,11.5,30.49,41.99
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,65.78,73.51,7.43,65.89,73.32,7.32,62.24,69.56,6.76,66.18,72.94,6.59,62.02,68.61,7.46,61.21,68.67,7.32,62.82,70.14,7.88,59.62,67.5,8.07,61.17,69.24,7.26,56.42,63.68,7.34,52.55,59.89
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,58.38,65.63,8.27,57.37,65.64,6.64,56.87,63.51,7.57,60.47,68.04,8.7,57.56,66.26,8.63,63.79,72.42,8.32,58.48,66.8,8.63,60.82,69.45,9.61,63.3,72.91,8.61,61.21,69.82,9.93,62.91,72.84,9.11,58.8,67.91,9.78,55.54,65.32,9.24,55.97,65.21,11.34,54.47,65.81,10.5,52.27,62.77,11.12,51.07,62.19,11.83,48.75,60.58
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,14.8,20
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.5,5.6
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19,28.35,36.54,8.83,30.58,39.41,8.11,27.72,35.83,8.66,28.25,36.91,8.01,26.49,34.5,8.33,27.15,35.48,7.87,27.93,35.8,7.61,25.25,32.86,7.62,25.75,33.37,7.09,24.88,31.97
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,17.16,21.66,4.87,19.21,24.08,5,20.39,25.39,5.65,22.85,28.5,5.93,25.23,31.16,6.48,26.51,32.99,6.47,28.68,35.15,8.09,32.76,40.85,8.6,34.74,43.34,9.2,37.84,47.04,9.28,37.72,47,9.44,37.36,46.8,9.87,38.31,48.18,9.09,37.06,46.15,9.5,38.46,47.96,10.17,40.93,51.1,10.08,40.7,50.78,10.37,40.27,50.64
Spain,,,,2.22,7.16,9.38,2.35,9.11,11.46,2.33,9.18,11.51,2.76,10.51,13.27,2.75,12.11,14.86,3.12,13.01,16.13,3.51,13.43,16.94,3.24,13.67,16.91,3.3,14,17.3,3.91,16.64,20.55,3.47,17.08,20.55,3.66,18.55,22.21,3.71,18.38,22.09,3.55,18.74,22.29,3.71,19.56,23.27,3.84,20.25,24.09,4.15,20.67,24.82,3.98,21.94,25.92,3.88,21.72,25.6,4.09,22.24,26.33,4.09,23.26,27.35,3.9,23.97,27.87,3.97,24.94,28.91,4.06,26.22,30.28,4,28.71,32.71,3.63,28.75,32.38,4.01,30.17,34.18,3.85,31.97,35.82,3.82,33.34,37.16,3.84,33.25,37.09,3.79,35.64,39.43,3.63,36.31,39.94,3.85,37.27,41.12,3.42,39.37,42.79,3.62,39.89,43.51,3.57,40.27,43.84,3.68,42.56,46.24,3.42,44.56,47.98,3.42,45.31,48.73,3.46,45.6,49.06,3.71,46.22,49.93,3.63,47.15,50.78,3.63,47.81,51.44,3.8,48.17,51.97,3.93,48.63,52.56,3.91,47,50.91,4.17,46.69,50.86,4.3,47.44,51.74,4.36,47.45,51.81,4.65,46.01,50.66,4.77,46.67,51.44,5.08,45.1,50.18
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,9.1,10.7
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,1.7
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,,4.07,1.65,,1.65,2.96,,2.96,2.96,,2.96,,,,,,,,,,,,,6.14,,6.14,4.62,,4.62,2.12,,2.12,,,,0.95,,0.95,3.22,,3.22,2.92,,2.92,0.89,,0.89,3.2,,3.2,1.07,,1.07,4.7,,4.7,4.7,,4.7,,,,2.67,,2.67,6.11,,6.11,0.62,,0.62,3.04,,3.04,2.39,,2.39,4.87,,4.87,6.3,,6.3,4.11,,4.11,5.56,,5.56,,,,,,,3.22,,3.22,0.8,,0.8,3.35,,3.35,6.07,,6.07,2.17,,2.17,4.9,,4.9,,,,7.4,13.2,20.6
Sweden,,,,3.64,9,12.64,4.05,8.67,12.72,3.58,9.94,13.52,3.71,10.25,13.96,3.37,11.04,14.41,3.73,11.02,14.75,3.93,11.84,15.77,4.11,13.44,17.55,4.05,13.5,17.55,3.49,14.25,17.74,3.96,15.2,19.16,3.85,15.75,19.6,3.95,15.18,19.13,3.58,16.73,20.31,4.08,17,21.08,3.89,17.37,21.26,4.92,18.3,23.22,4.43,18.19,22.62,4.57,19.84,24.41,4.79,19.73,24.52,5.14,21.67,26.81,5.1,22.49,27.59,5.62,22.65,28.27,5.95,23.51,29.46,6.06,23.86,29.92,5.89,24.18,30.07,6.29,26.02,32.31,6.62,25.21,31.83,6.62,26.12,32.74,7.33,24.52,31.85,8.01,23.63,31.64,7.74,23.54,31.28,7.78,23.57,31.35,8.22,24.4,32.62,8.09,24.42,32.51,8.91,22.63,31.54,9.42,23.61,33.03,9.85,23.87,33.72,9.88,22.56,32.44,9.74,23.65,33.39,10.94,24.14,35.08,11.15,23.46,34.61,10.49,22.3,32.79,11.09,22.96,34.05,12.18,22.4,34.58,12.81,21.5,34.31,12.34,22.23,34.57,12.29,21.16,33.45,12.76,21.62,34.38,13.32,20.9,34.22,14.32,20.63,34.95,14.04,20.27,34.31
Switzerland,,,,3.38,23.61,26.99,2.84,22.6,25.44,3.15,25.06,28.21,3.14,26.02,29.16,2.94,27.28,30.22,3.43,27.02,30.45,3.08,29.16,32.24,3.15,28.36,31.51,3.06,31.61,34.67,3.06,31.89,34.95,3.11,31.92,35.03,2.62,32.94,35.56,3.13,35.76,38.89,3.55,34.84,38.39,3.27,35.66,38.93,3.1,38.59,41.69,3.79,39.81,43.6,2.95,40.04,42.99,3.19,41.4,44.59,3.46,41.07,44.53,3.77,43.14,46.91,4.2,43.25,47.45,4.29,45.39,49.68,3.82,46.17,49.99,4.46,48.6,53.06,4.68,47.86,52.54,4.65,48.89,53.54,4.55,48.78,53.33,4.64,49.48,54.12,5.57,48.04,53.61,5.32,48.62,53.94,6.04,49.3,55.34,6.24,49.83,56.07,5.83,47.12,52.95,6.57,48.49,55.06,6.59,48.15,54.74,6.88,45.09,51.97,6.77,45.49,52.26,7.08,44.21,51.29,7.64,45.01,52.65,7.38,44.41,51.79,8.81,44.07,52.88,9.69,43.11,52.8,9.92,41.63,51.55,9.38,37.26,46.64,8.7,37.4,46.1,8.9,36.73,45.63,9.83,36.86,46.69,10.34,33.63,43.97,10.93,35.42,46.35,10.4,34.71,45.11,10.71,31.85,42.56
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,30.5,33.9
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,17.05,21.57,4.8,16.77,21.57,,,,,,,6.17,17.62,23.79,6.32,19.31,25.63,5.85,20.77,26.62,7.66,20.66,28.32,6.67,21.25,27.92,4.31,14.66,18.97,4.46,15.34,19.8,4.02,15.83,19.85,2.55,11.27,13.82,2.32,9.09,11.41,2.17,6.5,8.67,1.36,6.56,7.92,2.29,6.67,8.96,2.67,7.05,9.72,2.46,7.34,9.8,2.12,4.82,6.94,2.47,5,7.47,2.78,6.48,9.26
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,2.5
Thailand,,,,,,,,,,,,,,,,,,,,,,0.4,0.94,1.34,0.31,1.01,1.32,0.44,1.17,1.61,0.54,1.16,1.7,0.56,1.13,1.69,0.55,1.59,2.14,0.63,1.89,2.52,0.87,1.8,2.67,0.73,2,2.73,0.77,1.68,2.45,0.81,1.75,2.56,0.78,1.75,2.53,0.84,1.94,2.78,0.88,2.55,3.43,1.04,2.6,3.64,0.96,2.24,3.2,1.36,3.51,4.87,1.68,3.8,5.48,2.07,4.55,6.62,1.44,3.13,4.57,1.59,3.83,5.42,1.4,4.25,5.65,1.84,5.14,6.98,1.91,5.44,7.35,1.77,5.5,7.27,2.01,6.21,8.22,1.89,5.68,7.57,1.81,4.79,6.6,1.51,4.31,5.82,1.73,4.17,5.9,1.82,5.02,6.84,,,,,,,2.12,6.01,8.13,2.27,6.53,8.8,2.23,6.43,8.66,,,,2.55,7.41,9.96,2.87,8.11,10.98,2.72,8.14,10.86,2.79,7.85,10.64,3.3,9.03,12.33,4.05,10.52,14.57,5.19,13.18,18.37,,,,6.18,15.92,22.1
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.4,3
Trinidad and Tobago,,,,2.35,2.13,4.48,2.22,3.2,5.42,0.95,2.14,3.09,3.32,4.79,8.11,1.63,5.71,7.34,1.59,5.95,7.54,1.91,5.69,7.6,1.65,8.39,10.04,,,,4.13,9.39,13.52,2.15,6.27,8.42,4.07,14.31,18.38,4.46,10.17,14.63,,,,,,,4.95,12.4,17.35,3.51,11.98,15.49,3.61,6.32,9.93,,,,3.53,13.42,16.95,2.61,14.68,17.29,2.53,11.27,13.8,4.78,9.99,14.77,4.99,13.56,18.55,5.2,15.67,20.87,2.26,10.76,13.02,3.58,11.55,15.13,4.82,11.44,16.26,1.84,11.42,13.26,5.21,11.76,16.97,3.17,9.4,12.57,3.34,15.42,18.76,2.71,15.8,18.51,4.22,15.39,19.61,3.51,14.81,18.32,5.25,17.97,23.22,3.47,19.96,23.43,3.67,21.64,25.31,3.49,15.4,18.89,2.52,13.26,15.78,5.62,13.88,19.5,4.47,18.1,22.57,4.73,15.47,20.2,3.66,13.52,17.18,4.76,13.83,18.59,3.4,16.99,20.39,4.78,14.32,19.1,4.45,16.96,21.41,3.94,16.38,20.32,2.91,14.96,17.87,4.13,16.88,21.01,4.27,14.89,19.16
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,27.1,28.9
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,44.1,49
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,5.6,5.27,,5.27,,,,,,,5.48,,5.48,4.13,,4.13,4.92,,4.92,5.6,,5.6,3.82,,3.82,3.46,,3.46,3.48,,3.48,4.15,,4.15,4.93,,4.93,3.38,,3.38,3.68,,3.68,4.63,,4.63,3.27,,3.27,3.03,,3.03,,,,,,,,,,4.1,18.3,22.4
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.3,5.4
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,48.87,55.39,6.52,50.2,56.72,,,,,,,6.51,54.49,61,6.79,56.44,63.23,6.94,59.25,66.19,7.16,61.7,68.86,7.28,63.28,70.56,7.35,63.5,70.85,7.38,63.39,70.77,6.91,63.14,70.05,6.77,61.62,68.39,6.49,60.08,66.57,6.46,57.64,64.1,5.88,53.62,59.5,5.9,52.24,58.14,5.84,52.11,57.95,5.85,50.82,56.67,5.68,50.64,56.32,5.3,48.05,53.35,5.02,47.16,52.18
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,12.7,17.5
United Kingdom,6.01,38.19,44.2,6.1,40.98,47.08,6.34,43.74,50.08,6.43,46.9,53.33,6.61,50.31,56.92,6.73,52.46,59.19,7.04,55.08,62.12,7.15,57.38,64.53,7.42,58.89,66.31,7.71,61.96,69.67,8.03,63.72,71.75,8.49,65.01,73.5,8.79,66.85,75.64,9.18,68.11,77.29,9.72,69.31,79.03,10.3,70.84,81.14,10.68,71.05,81.73,11.28,72.82,84.1,11.7,72.77,84.47,11.94,73.96,85.9,12.39,73.75,86.14,12.99,73.38,86.37,13.58,74.22,87.8,13.88,74.24,88.12,14.85,74.59,89.44,15.01,72.74,87.75,15.45,73.58,89.03,16.08,72.42,88.5,16.65,72.28,88.93,17.25,71.91,89.16,17.75,70.82,88.57,17.95,69.04,86.99,18.9,67.62,86.52,18.75,68.24,86.99,19.95,66.58,86.53,19.85,65.9,85.75,20.09,63.42,83.51,20.51,61.71,82.22,21.26,60.96,82.22,21.09,58.56,79.65,20.96,57.43,78.39,21.1,56.33,77.43,21.02,54.32,75.34,20.87,51.72,72.59,20.9,49.9,70.8,20.65,47.76,68.41,20.55,45.61,66.16,19.87,43.38,63.25,20.27,42.74,63.01,20.11,40.62,60.73,19.94,39.23,59.17,19.53,38.15,57.68,19.67,37.58,57.25
